"SafeStage — Synthetic User Behaviour Dataset (2,000 Rows)",,,,,,,,,,,,,,,,
◆ DEMOGRAPHICS,,,,◆ IDENTITY VERIFICATION,,,◆ BEHAVIOURAL METRICS,,,◆ FINANCIALS,,◆ PREFERENCE & INTENT,,,◆ LABELS,
User_ID,Age,Location,Account_Age_Days,Verified_Status,ID_Type_Provided,Liveness_Check_Duration_sec,Time_to_Click_Buy_ms,Mouse_Movement_Pattern,Session_Count_Last_24h,Historical_Spend_USD,Max_Price_Willing_to_Pay_USD,Primary_Interest,Preferred_Feature,Challenges_Faced,App_Inclination,User_Type
U2415,32,São Paulo/Brazil,522,Yes,National ID,4.95,2086,Erratic,18,2567.88,5875.56,Music,Early Access,Bot Competition,Maybe,Scalper
U2751,19,São Paulo/Brazil,164,No,None,0.42,50,Linear,67,5189.8,15000,Music,Early Access,Interface Complexity,No,Bot
U1719,32,Melbourne/Australia,90,Yes,Passport,5.73,11390,Natural,1,244.99,306.97,Sports,Group Booking,Bot Competition,Yes,Fan
U2204,40,Singapore/Singapore,282,Yes,Driver's License,0.85,4234,Erratic,21,2670.77,5528.38,Sports,Early Access,High Prices,Maybe,Scalper
U1305,30,Amsterdam/Netherlands,825,Yes,State ID,5.94,8150,Natural,1,218.91,291.61,Theatre,Group Booking,Bot Competition,Yes,Fan
U1781,31,Mumbai/India,454,Yes,National ID,5.23,11164,Natural,3,664.83,800,Music,Group Booking,Bot Competition,Yes,Fan
U2130,27,Austin/USA,430,No,None,4.35,3950,Erratic,19,2683.46,5612.26,Music,Early Access,High Prices,Maybe,Scalper
U1866,36,Sydney/Australia,1088,Yes,Driver's License,4.14,9498,Natural,2,50,80,Theatre,Early Access,High Prices,Yes,Fan
U1859,28,Chicago/USA,764,Yes,Driver's License,3.1,6979,Natural,6,521.99,782.33,Sports,Group Booking,Bot Competition,Yes,Fan
U2545,41,Chicago/USA,206,No,None,4.56,2803,Linear,16,3451.71,7741.7,Sports,Early Access,Bot Competition,No,Scalper
U2917,19,New York/USA,24,No,None,0.48,133,Linear,33,6368.85,15000,Music,Early Access,Bot Competition,No,Bot
U1818,36,Seoul/South Korea,873,Yes,National ID,7.15,9812,Natural,8,578.83,800,Music,Group Booking,Interface Complexity,Yes,Fan
U1948,26,São Paulo/Brazil,1157,Yes,National ID,6.33,3000,Natural,4,163.2,268.41,Theatre,Group Booking,High Prices,Yes,Fan
U2704,23,New York/USA,84,Yes,Driver's License,0.48,183,Linear,50,4967.82,14721.84,Sports,Early Access,Bot Competition,No,Bot
U2040,31,Madrid/Spain,567,No,None,3.75,3305,Erratic,15,3001.71,6711.42,Sports,Early Access,Bot Competition,No,Scalper
U2402,30,Dubai/UAE,542,Yes,State ID,2.37,2685,Erratic,17,3267.15,7242.06,Music,Early Access,Interface Complexity,No,Scalper
U2681,27,Madrid/Spain,67,No,None,0.41,216,Linear,46,5186.72,15000,Music,Early Access,Bot Competition,No,Bot
U2502,37,Dubai/UAE,551,No,None,3.03,3673,Erratic,15,2444.73,5628.64,Sports,Early Access,Interface Complexity,Maybe,Scalper
U2436,38,Amsterdam/Netherlands,525,No,None,3.76,1279,Erratic,13,2526.09,5267.38,Theatre,Face-value Resale,High Prices,No,Scalper
U1262,34,Seoul/South Korea,959,Yes,State ID,4.87,12049,Natural,6,454.31,711.34,Music,Face-value Resale,Bot Competition,Yes,Fan
U2792,22,New York/USA,154,No,None,1.2,157,Linear,31,4829.92,14591.98,Music,Face-value Resale,Bot Competition,No,Bot
U2893,23,Mexico City/Mexico,39,No,None,0.43,131,Linear,45,4649.74,13737.07,Sports,Group Booking,Bot Competition,No,Bot
U1027,32,London/UK,1132,Yes,Driver's License,3.39,7651,Natural,1,235.61,309.65,Music,Group Booking,Bot Competition,Yes,Fan
U2581,40,Amsterdam/Netherlands,679,Yes,Driver's License,5.16,2991,Linear,30,2561.5,5772.05,Sports,Group Booking,Interface Complexity,No,Scalper
U1652,42,Los Angeles/USA,882,Yes,National ID,2.46,5775,Natural,4,278.31,405.9,Theatre,Group Booking,Bot Competition,Yes,Fan
U2603,27,London/UK,153,Yes,State ID,0.73,169,Linear,51,1639.65,5487.68,Theatre,Early Access,Bot Competition,No,Bot
U2850,26,Chicago/USA,204,No,None,1.09,338,Linear,73,5415.98,15000,Music,Early Access,Interface Complexity,No,Bot
U2212,45,Singapore/Singapore,178,No,None,3.76,3416,Erratic,10,3827.16,8000,Theatre,Face-value Resale,Interface Complexity,No,Scalper
U1003,40,Toronto/Canada,832,Yes,Driver's License,4.58,4238,Natural,2,439.97,523.88,Sports,Early Access,Interface Complexity,Maybe,Fan
U2331,23,São Paulo/Brazil,664,Yes,State ID,4.11,3686,Linear,20,2856.8,6338.57,Music,Early Access,Bot Competition,No,Scalper
U1172,30,Toronto/Canada,1022,Yes,Passport,4.21,9481,Natural,7,396.13,476.62,Music,Early Access,Bot Competition,Yes,Fan
U2737,23,São Paulo/Brazil,163,No,None,0.29,282,Linear,45,3605.59,10793.86,Sports,Early Access,Bot Competition,No,Bot
U1798,50,New York/USA,1030,Yes,National ID,4.7,3000,Natural,2,333.5,316.91,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1963,30,Mexico City/Mexico,997,Yes,Passport,4.68,7045,Natural,5,431.44,660.28,Music,Group Booking,Bot Competition,Yes,Fan
U1260,27,Toronto/Canada,1095,Yes,State ID,3.13,7296,Natural,3,527.78,792.36,Music,Face-value Resale,Bot Competition,Yes,Fan
U2614,20,London/UK,40,No,None,0.94,269,Linear,37,2674.28,8289.14,Music,Face-value Resale,Bot Competition,No,Bot
U1420,19,Paris/France,347,Yes,State ID,5.57,6325,Natural,5,424.54,470.91,Sports,Face-value Resale,Bot Competition,Yes,Fan
U1087,30,Chicago/USA,445,Yes,State ID,6.36,12289,Natural,2,350.21,513.16,Music,Group Booking,High Prices,Yes,Fan
U2727,26,Chicago/USA,186,No,None,0.97,151,Linear,59,3235.45,9423.22,Music,Early Access,Bot Competition,No,Bot
U1383,31,Sydney/Australia,1396,Yes,Passport,4.67,10290,Natural,1,448.4,539.97,Music,Face-value Resale,Interface Complexity,Yes,Fan
U1886,42,Sydney/Australia,1380,Yes,Driver's License,5.57,7413,Natural,1,416.52,591.26,Sports,Face-value Resale,Bot Competition,Yes,Fan
U2899,20,São Paulo/Brazil,186,No,None,0.76,222,Linear,80,4129.58,12434.42,Sports,Early Access,Bot Competition,No,Bot
U1169,27,Melbourne/Australia,789,Yes,State ID,4.03,5493,Natural,7,361.98,604.14,Music,Early Access,Bot Competition,Maybe,Fan
U1946,26,Toronto/Canada,1244,Yes,Passport,2.61,8819,Natural,5,50,133.88,Music,Early Access,High Prices,Maybe,Fan
U2907,20,Melbourne/Australia,140,No,None,0.6,302,Linear,51,3033.86,8915.54,Music,Early Access,Bot Competition,No,Bot
U2815,21,Paris/France,86,Yes,Driver's License,0.93,341,Linear,34,4296.95,12999.24,Theatre,Early Access,Interface Complexity,No,Bot
U2163,31,Toronto/Canada,310,No,None,4.08,2986,Erratic,17,2137.58,5055.12,Music,Face-value Resale,Interface Complexity,No,Scalper
U2776,25,Dubai/UAE,199,No,None,0.82,221,Linear,44,3307.88,9561.42,Sports,Early Access,Interface Complexity,No,Bot
U2974,24,Sydney/Australia,121,Yes,State ID,0.57,247,Linear,33,4610.55,12926.44,Theatre,Face-value Resale,Bot Competition,No,Bot
U1753,40,Amsterdam/Netherlands,351,Yes,National ID,2.02,8023,Natural,3,421.39,665.57,Music,Group Booking,High Prices,Yes,Fan
U1017,31,Chicago/USA,685,Yes,National ID,6.74,8984,Natural,1,538.18,675.48,Sports,Group Booking,Bot Competition,Maybe,Fan
U2408,33,Vancouver/Canada,435,No,None,2.66,2408,Erratic,10,3516.59,8000,Music,Early Access,Interface Complexity,Maybe,Scalper
U1584,18,Madrid/Spain,631,Yes,National ID,4.03,7359,Natural,1,720.84,800,Music,Early Access,Bot Competition,Maybe,Fan
U2733,25,Paris/France,113,Yes,Driver's License,0.37,119,Linear,55,4911.34,14169.81,Theatre,Early Access,Bot Competition,No,Bot
U2569,31,Chicago/USA,724,Yes,Driver's License,2.98,812,Erratic,15,2527.17,5592.41,Sports,Face-value Resale,Bot Competition,No,Scalper
